1,6.56659
2,6.61193
3,7.69826
4,7.81405
5,8.11135
6,8.2626
7,8.35103
8,8.41791
9,8.46215
10,8.49221
11,8.81319
12,8.91038
13,9.06497
14,9.15294
15,9.20767
16,9.24871
17,9.27418
18,9.28924
19,9.47419
20,9.54334
21,9.60143
22,9.64548
23,9.68229
24,9.70724
25,9.73945
26,9.76478
27,9.78613
28,9.7112
29,9.81401
30,9.83493
31,9.89832
32,9.93896
33,9.96808
34,9.99276
35,10.0102
36,10.0224
37,10.1206
38,10.1637
39,10.2048
40,10.2352
41,10.2572
42,10.2735
43,10.2984
44,10.3061
45,10.3184
46,10.2939
47,10.3374
48,10.3574
49,10.4008
50,10.43
51,10.4517
52,10.4706
53,10.4849
54,10.496
